station_id,year,hot_days,txx,hot_mean
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1980,0,30.9,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1981,0,32.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1982,0,32.6,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1983,0,33.3,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1984,0,31.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1985,0,31.4,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1986,0,32.3,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1987,0,33.5,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1988,0,33.0,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1989,0,32.3,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1990,0,32.1,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1991,0,32.3,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1992,0,33.7,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1993,0,30.5,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1994,0,33.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1995,0,30.7,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1996,0,31.1,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1997,0,34.5,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1998,0,32.0,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,1999,0,34.7,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2000,0,34.0,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2001,0,33.1,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2002,0,34.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2003,0,31.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2004,0,33.6,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2005,0,32.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2006,0,30.7,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2007,0,32.0,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2008,0,32.1,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2009,0,32.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2010,0,32.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2011,0,31.6,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2012,0,31.6,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2013,0,33.2,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2014,0,32.5,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2015,0,34.0,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2016,0,33.0,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2017,0,33.6,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2018,0,34.8,
综合5要素_站点_54471_1980_2019_withptype_filled_withptype_MAM_1980_2019,2019,0,33.8,
